-0.00833333 0 0 0
0 -nan(ind) -nan(ind) -nan(ind)
0.00833333 -nan(ind) -nan(ind) -nan(ind)
0.0166667 -nan(ind) -nan(ind) -nan(ind)
0.025 -nan(ind) -nan(ind) -nan(ind)
0.0333333 -nan(ind) -nan(ind) -nan(ind)
0.0416667 -nan(ind) -nan(ind) -nan(ind)
0.05 -nan(ind) -nan(ind) -nan(ind)
0.0583333 -nan(ind) -nan(ind) -nan(ind)
0.0666667 -nan(ind) -nan(ind) -nan(ind)
0.075 -nan(ind) -nan(ind) -nan(ind)
0.0833333 -nan(ind) -nan(ind) -nan(ind)
0.0916667 -nan(ind) -nan(ind) -nan(ind)
0.1 -nan(ind) -nan(ind) -nan(ind)
0.108333 -nan(ind) -nan(ind) -nan(ind)
0.116667 -nan(ind) -nan(ind) -nan(ind)
0.125 -nan(ind) -nan(ind) -nan(ind)
0.133333 -nan(ind) -nan(ind) -nan(ind)
0.141667 -nan(ind) -nan(ind) -nan(ind)
0.15 -nan(ind) -nan(ind) -nan(ind)
0.158333 -nan(ind) -nan(ind) -nan(ind)
0.166667 -nan(ind) -nan(ind) -nan(ind)
0.175 -nan(ind) -nan(ind) -nan(ind)
0.183333 -nan(ind) -nan(ind) -nan(ind)
0.191667 -nan(ind) -nan(ind) -nan(ind)
0.2 -nan(ind) -nan(ind) -nan(ind)
0.208333 -nan(ind) -nan(ind) -nan(ind)
0.216667 -nan(ind) -nan(ind) -nan(ind)
0.225 -nan(ind) -nan(ind) -nan(ind)
0.233333 -nan(ind) -nan(ind) -nan(ind)
0.241667 -nan(ind) -nan(ind) -nan(ind)
0.25 -nan(ind) -nan(ind) -nan(ind)
0.258333 -nan(ind) -nan(ind) -nan(ind)
0.266667 -nan(ind) -nan(ind) -nan(ind)
0.275 -nan(ind) -nan(ind) -nan(ind)
0.283333 -nan(ind) -nan(ind) -nan(ind)
0.291667 -nan(ind) -nan(ind) -nan(ind)
0.3 -nan(ind) -nan(ind) -nan(ind)
0.308333 -nan(ind) -nan(ind) -nan(ind)
0.316667 -nan(ind) -nan(ind) -nan(ind)
0.325 -nan(ind) -nan(ind) -nan(ind)
0.333333 -nan(ind) -nan(ind) -nan(ind)
0.341667 -nan(ind) -nan(ind) -nan(ind)
0.35 -nan(ind) -nan(ind) -nan(ind)
0.358333 -nan(ind) -nan(ind) -nan(ind)
0.366667 -nan(ind) -nan(ind) -nan(ind)
0.375 -nan(ind) -nan(ind) -nan(ind)
0.383333 -nan(ind) -nan(ind) -nan(ind)
0.391667 -nan(ind) -nan(ind) 0
0.4 -nan(ind) -nan(ind) 0
0.408333 -nan(ind) -nan(ind) 0
0.416667 -nan(ind) -nan(ind) 0
0.425 -nan(ind) -nan(ind) 0
0.433333 -nan(ind) -nan(ind) 0
0.441667 -nan(ind) -nan(ind) 0
0.45 -nan(ind) -nan(ind) 0
0.458333 -nan(ind) -nan(ind) 0
0.466667 -nan(ind) -nan(ind) 0
0.475 -nan(ind) -nan(ind) 0
0.483333 -nan(ind) -nan(ind) 0
0.491667 -nan(ind) -nan(ind) 0
0.5 -nan(ind) -nan(ind) 0
0.508333 -nan(ind) -nan(ind) 0
0.516667 -nan(ind) -nan(ind) 0
0.525 -nan(ind) -nan(ind) 0
0.533333 -nan(ind) -nan(ind) 0
0.541667 -nan(ind) -nan(ind) 0
0.55 -nan(ind) -nan(ind) 0
0.558333 -nan(ind) -nan(ind) 0
0.566667 -nan(ind) -nan(ind) 0
0.575 -nan(ind) -nan(ind) 0
0.583333 -nan(ind) -nan(ind) 0
0.591667 -nan(ind) -nan(ind) 0
0.6 -nan(ind) -nan(ind) -nan(ind)
0.608333 -nan(ind) -nan(ind) -nan(ind)
0.616667 -nan(ind) -nan(ind) -nan(ind)
0.625 -nan(ind) -nan(ind) -nan(ind)
0.633333 -nan(ind) -nan(ind) -nan(ind)
0.641667 -nan(ind) -nan(ind) -nan(ind)
0.65 -nan(ind) -nan(ind) -nan(ind)
0.658333 -nan(ind) -nan(ind) -nan(ind)
0.666667 -nan(ind) -nan(ind) -nan(ind)
0.675 -nan(ind) -nan(ind) -nan(ind)
0.683333 -nan(ind) -nan(ind) -nan(ind)
0.691667 -nan(ind) -nan(ind) -nan(ind)
0.7 -nan(ind) -nan(ind) -nan(ind)
0.708333 -nan(ind) -nan(ind) -nan(ind)
0.716667 -nan(ind) -nan(ind) -nan(ind)
0.725 -nan(ind) -nan(ind) -nan(ind)
0.733333 -nan(ind) -nan(ind) -nan(ind)
0.741667 -nan(ind) -nan(ind) -nan(ind)
0.75 -nan(ind) -nan(ind) -nan(ind)
0.758333 -nan(ind) -nan(ind) -nan(ind)
0.766667 -nan(ind) -nan(ind) -nan(ind)
0.775 -nan(ind) -nan(ind) -nan(ind)
0.783333 -nan(ind) -nan(ind) -nan(ind)
0.791667 -nan(ind) -nan(ind) -nan(ind)
0.8 -nan(ind) -nan(ind) -nan(ind)
0.808333 -nan(ind) -nan(ind) -nan(ind)
0.816667 -nan(ind) -nan(ind) -nan(ind)
0.825 -nan(ind) -nan(ind) -nan(ind)
0.833333 -nan(ind) -nan(ind) -nan(ind)
0.841667 -nan(ind) -nan(ind) -nan(ind)
0.85 -nan(ind) -nan(ind) -nan(ind)
0.858333 -nan(ind) -nan(ind) -nan(ind)
0.866667 -nan(ind) -nan(ind) -nan(ind)
0.875 -nan(ind) -nan(ind) -nan(ind)
0.883333 -nan(ind) -nan(ind) -nan(ind)
0.891667 -nan(ind) -nan(ind) -nan(ind)
0.9 -nan(ind) -nan(ind) -nan(ind)
0.908333 -nan(ind) -nan(ind) -nan(ind)
0.916667 -nan(ind) -nan(ind) -nan(ind)
0.925 -nan(ind) -nan(ind) -nan(ind)
0.933333 -nan(ind) -nan(ind) -nan(ind)
0.941667 -nan(ind) -nan(ind) -nan(ind)
0.95 -nan(ind) -nan(ind) -nan(ind)
0.958333 -nan(ind) -nan(ind) -nan(ind)
0.966667 -nan(ind) -nan(ind) -nan(ind)
0.975 -nan(ind) -nan(ind) -nan(ind)
0.983333 -nan(ind) -nan(ind) -nan(ind)
0.991667 0 0 0
