-0.00833333 0 0
0 -3.6144e+31 -3.07117e+29
0.00833333 -7.47983e+31 -6.35564e+29
0.0166667 -9.3658e+31 -7.95823e+29
0.025 -1.19022e+32 -1.01135e+30
0.0333333 -1.27664e+32 -1.08479e+30
0.0416667 -1.45171e+32 -1.23356e+30
0.05 -1.47771e+32 -1.25565e+30
0.0583333 -1.60633e+32 -1.36494e+30
0.0666667 -1.59661e+32 -1.35666e+30
0.075 -1.69776e+32 -1.4426e+30
0.0833333 -1.66692e+32 -1.41638e+30
0.0916667 -1.75183e+32 -1.48852e+30
0.1 -1.7085e+32 -1.4517e+30
0.108333 -1.78382e+32 -1.5157e+30
0.116667 -1.7331e+32 -1.47262e+30
0.125 -1.80275e+32 -1.53182e+30
0.133333 -1.74767e+32 -1.48505e+30
0.141667 -1.81397e+32 -1.54142e+30
0.15 -1.75632e+32 -1.49247e+30
0.158333 -1.82065e+32 -1.54716e+30
0.166667 -1.7615e+32 -1.49692e+30
0.175 -1.82468e+32 -1.55063e+30
0.183333 -1.76466e+32 -1.49964e+30
0.191667 -1.82719e+32 -1.5528e+30
0.2 -1.7667e+32 -1.50139e+30
0.208333 -1.8289e+32 -1.55425e+30
0.216667 -1.7682e+32 -1.50266e+30
0.225 -1.8303e+32 -1.55543e+30
0.233333 -1.76959e+32 -1.50383e+30
0.241667 -1.83177e+32 -1.55667e+30
0.25 -1.77124e+32 -1.50524e+30
0.258333 -1.83373e+32 -1.55834e+30
0.266667 -1.77365e+32 -1.50727e+30
0.275 -1.83674e+32 -1.56089e+30
0.283333 -1.77747e+32 -1.51052e+30
0.291667 -1.84164e+32 -1.56505e+30
0.3 -1.78379e+32 -1.51589e+30
0.308333 -1.84982e+32 -1.572e+30
0.316667 -1.79439e+32 -1.5249e+30
0.325 -1.86359e+32 -1.58371e+30
0.333333 -1.81229e+32 -1.54011e+30
0.341667 -1.88685e+32 -1.60347e+30
0.35 -1.84252e+32 -1.5658e+30
0.358333 -1.92616e+32 -1.63688e+30
0.366667 -1.89364e+32 -1.60924e+30
0.375 -1.99263e+32 -1.69337e+30
0.383333 -9.6288e+31 -8.1827e+29
0.391667 0 0
