-0.00833333 0 0 0
0 -609454 -0.0153562 -4.44224e+29
0.00833333 -937070 -0.0304951 -6.83141e+29
0.0166667 -1.32987e+06 -0.0452331 -9.69506e+29
0.025 -1.49091e+06 -0.0593522 -1.08705e+30
0.0333333 -1.75565e+06 -0.0726683 -1.28008e+30
0.0416667 -1.81827e+06 -0.0849622 -1.32587e+30
0.05 -2.00735e+06 -0.0960479 -1.46373e+30
0.0583333 -2.01172e+06 -0.105703 -1.46708e+30
0.0666667 -2.15601e+06 -0.113737 -1.57231e+30
0.075 -2.12601e+06 -0.119918 -1.55058e+30
0.0833333 -2.24388e+06 -0.124045 -1.63653e+30
0.0916667 -2.19354e+06 -0.125873 -1.59996e+30
0.1 -2.29578e+06 -0.12518 -1.6745e+30
0.108333 -2.23343e+06 -0.121699 -1.62916e+30
0.116667 -2.32644e+06 -0.11518 -1.69697e+30
0.125 -2.257e+06 -0.105319 -1.64645e+30
0.133333 -2.34455e+06 -0.0918269 -1.71028e+30
0.141667 -2.27089e+06 -0.074355 -1.6567e+30
0.15 -2.35518e+06 -0.0525598 -1.71818e+30
0.158333 -2.27894e+06 -0.0260318 -1.6628e+30
0.166667 -2.36121e+06 0.00564017 -1.72289e+30
0.175 -2.28338e+06 0.0429418 -1.66645e+30
0.183333 -2.36437e+06 0.0863687 -1.72574e+30
0.191667 -2.28545e+06 0.1365 -1.66868e+30
0.2 -2.3655e+06 0.193934 -1.7275e+30
0.208333 -2.28572e+06 0.259363 -1.67011e+30
0.216667 -2.36491e+06 0.333509 -1.7287e+30
0.225 -2.28427e+06 0.417199 -1.67115e+30
0.233333 -2.36251e+06 0.511302 -1.72966e+30
0.241667 -2.28073e+06 0.616802 -1.6721e+30
0.25 -2.3576e+06 0.734742 -1.73066e+30
0.258333 -2.27411e+06 0.866294 -1.67322e+30
0.266667 -2.34879e+06 1.0127 -1.73198e+30
0.275 -2.26251e+06 1.17535 -1.67484e+30
0.283333 -2.33359e+06 1.35572 -1.73401e+30
0.291667 -2.24266e+06 1.55545 -1.67741e+30
0.3 -2.30771e+06 1.77628 -1.7373e+30
0.308333 -2.20894e+06 2.02014 -1.68165e+30
0.316667 -2.26381e+06 2.2891 -1.74279e+30
0.325 -2.15181e+06 2.58539 -1.68877e+30
0.333333 -2.18948e+06 2.91144 -1.75204e+30
0.341667 -2.0551e+06 3.26988 -1.70078e+30
0.35 -2.06366e+06 3.6635 -1.76764e+30
0.358333 -1.89142e+06 4.09537 -1.72107e+30
0.366667 -1.85075e+06 4.56875 -1.79403e+30
0.375 -1.61447e+06 5.08717 -1.75538e+30
0.383333 -1.4905e+06 5.65438 -1.83864e+30
0.391667 -1.14585e+06 6.27446 0
0.4 -880890 6.95174 0
0.408333 -677198 7.69085 0
0.416667 -520606 8.49676 0
0.425 -400223 9.37477 0
0.433333 -307676 10.3305 0
0.441667 -236528 11.37 0
0.45 -181832 12.4997 0
0.458333 -139782 13.7264 0
0.466667 -107456 15.0572 0
0.475 -82603.8 16.4999 0
0.483333 -63497.8 18.0624 0
0.491667 -48809.3 19.7535 0
0.5 -37516.6 21.582 0
0.508333 -28834.7 23.5576 0
