-0.00833333 0 0 0 0
0 -9.25472e+30 -2.09595e+31 -3.6144e+31 -3.07117e+29
0.00833333 -1.91522e+31 -4.33747e+31 -7.47983e+31 -6.35564e+29
0.0166667 -2.39811e+31 -5.43108e+31 -9.3658e+31 -7.95823e+29
0.025 -3.04754e+31 -6.90189e+31 -1.19022e+32 -1.01135e+30
0.0333333 -3.26877e+31 -7.40292e+31 -1.27664e+32 -1.08479e+30
0.0416667 -3.71702e+31 -8.41808e+31 -1.45171e+32 -1.23356e+30
0.05 -3.78355e+31 -8.56876e+31 -1.47771e+32 -1.25565e+30
0.0583333 -4.11285e+31 -9.31453e+31 -1.60633e+32 -1.36494e+30
0.0666667 -4.08792e+31 -9.25806e+31 -1.59661e+32 -1.35666e+30
0.075 -4.34688e+31 -9.84456e+31 -1.69776e+32 -1.4426e+30
0.0833333 -4.26788e+31 -9.66564e+31 -1.66692e+32 -1.41638e+30
0.0916667 -4.48527e+31 -1.0158e+32 -1.75183e+32 -1.48852e+30
0.1 -4.3743e+31 -9.90665e+31 -1.7085e+32 -1.4517e+30
0.108333 -4.56712e+31 -1.03433e+32 -1.78382e+32 -1.5157e+30
0.116667 -4.43725e+31 -1.00492e+32 -1.7331e+32 -1.47262e+30
0.125 -4.61555e+31 -1.0453e+32 -1.80275e+32 -1.53182e+30
0.133333 -4.47453e+31 -1.01336e+32 -1.74767e+32 -1.48505e+30
0.141667 -4.64426e+31 -1.0518e+32 -1.81397e+32 -1.54142e+30
0.15 -4.49666e+31 -1.01838e+32 -1.75632e+32 -1.49247e+30
0.158333 -4.66135e+31 -1.05567e+32 -1.82065e+32 -1.54716e+30
0.166667 -4.5099e+31 -1.02137e+32 -1.7615e+32 -1.49692e+30
0.175 -4.67165e+31 -1.05801e+32 -1.82468e+32 -1.55063e+30
0.183333 -4.51799e+31 -1.02321e+32 -1.76466e+32 -1.49964e+30
0.191667 -4.67809e+31 -1.05947e+32 -1.82719e+32 -1.5528e+30
0.2 -4.52322e+31 -1.02439e+32 -1.7667e+32 -1.50139e+30
0.208333 -4.68247e+31 -1.06046e+32 -1.8289e+32 -1.55425e+30
0.216667 -4.52706e+31 -1.02526e+32 -1.7682e+32 -1.50266e+30
0.225 -4.68604e+31 -1.06127e+32 -1.8303e+32 -1.55543e+30
0.233333 -4.5306e+31 -1.02606e+32 -1.76959e+32 -1.50383e+30
0.241667 -4.6898e+31 -1.06212e+32 -1.83177e+32 -1.55667e+30
0.25 -4.53485e+31 -1.02702e+32 -1.77124e+32 -1.50524e+30
0.258333 -4.69482e+31 -1.06326e+32 -1.83373e+32 -1.55834e+30
0.266667 -4.54099e+31 -1.02842e+32 -1.77365e+32 -1.50727e+30
0.275 -4.70252e+31 -1.065e+32 -1.83674e+32 -1.56089e+30
0.283333 -4.55077e+31 -1.03063e+32 -1.77747e+32 -1.51052e+30
0.291667 -4.71507e+31 -1.06784e+32 -1.84164e+32 -1.56505e+30
0.3 -4.56696e+31 -1.0343e+32 -1.78379e+32 -1.51589e+30
0.308333 -4.73601e+31 -1.07258e+32 -1.84982e+32 -1.572e+30
0.316667 -4.59411e+31 -1.04045e+32 -1.79439e+32 -1.5249e+30
0.325 -4.77127e+31 -1.08057e+32 -1.86359e+32 -1.58371e+30
0.333333 -4.63992e+31 -1.05082e+32 -1.81229e+32 -1.54011e+30
0.341667 -4.83081e+31 -1.09405e+32 -1.88685e+32 -1.60347e+30
0.35 -4.71733e+31 -1.06835e+32 -1.84252e+32 -1.5658e+30
0.358333 -4.93146e+31 -1.11685e+32 -1.92616e+32 -1.63688e+30
0.366667 -4.8482e+31 -1.09799e+32 -1.89364e+32 -1.60924e+30
0.375 -5.10166e+31 -1.15539e+32 -1.99263e+32 -1.69337e+30
0.383333 -2.46522e+31 -5.58309e+31 -9.6288e+31 -8.1827e+29
0.391667 0 0 0 0
